Date,Al Rajhi Bank (1120.SR),Saudi Aramco (2222.SR),STC (7010.SR),Gold (GLD),S&P 500 (^GSPC)
2023-05-08,70.83311462402344,27.877859115600586,36.402706146240234,187.69000244140625,4138.1201171875
2023-05-09,70.6459732055664,28.781164169311523,36.237239837646484,189.02000427246094,4119.169921875
2023-05-10,70.3652572631836,28.738338470458984,36.77500915527344,188.75,4137.64013671875
2023-05-11,70.73954772949219,28.823999404907227,37.7678108215332,187.1300048828125,4130.6201171875
2023-05-12,70.73954772949219,28.823999404907227,37.7678108215332,186.80999755859375,4124.080078125
2023-05-14,70.6459732055664,28.8668270111084,37.147308349609375,186.80999755859375,4124.080078125
2023-05-15,69.89739990234375,28.352874755859375,37.18867874145508,187.2100067138672,4136.27978515625
2023-05-16,69.89739990234375,27.75326919555664,36.65090560913086,184.8699951171875,4109.89990234375
2023-05-17,70.1781234741211,27.755346298217773,36.52680969238281,184.22999572753906,4158.77001953125
2023-05-18,70.08454132080078,28.014739990234375,36.60954284667969,181.83999633789062,4198.0498046875
2023-05-19,70.08454132080078,28.014739990234375,36.60954284667969,183.63999938964844,4191.97998046875
2023-05-21,69.89739990234375,28.014739990234375,36.9434928894043,183.63999938964844,4191.97998046875
2023-05-22,69.71026611328125,27.885040283203125,37.23569869995117,183.2100067138672,4192.6298828125
2023-05-23,69.33598327636719,27.755346298217773,36.77651596069336,183.42999267578125,4145.580078125
2023-05-24,68.5874252319336,27.668880462646484,36.484310150146484,181.9499969482422,4115.240234375
2023-05-25,68.11956787109375,27.58241081237793,35.60768127441406,180.1999969482422,4151.27978515625
2023-05-26,68.11956787109375,27.58241081237793,35.60768127441406,180.9199981689453,4205.4501953125
2023-05-28,67.46455383300781,27.625646591186523,34.64756774902344,180.9199981689453,4205.4501953125
2023-05-29,67.46455383300781,27.452714920043945,34.56407928466797,180.9199981689453,4205.4501953125
2023-05-30,66.9967041015625,27.539182662963867,35.065006256103516,182.0399932861328,4205.52001953125
2023-05-31,66.15457153320312,27.236553192138672,36.10860061645508,182.32000732421875,4179.830078125
2023-06-01,67.6517105102539,27.36625099182129,35.27372741699219,183.75999450683594,4221.02001953125
2023-06-02,67.6517105102539,27.36625099182129,35.27372741699219,181.0500030517578,4282.3701171875
2023-06-04,69.33598327636719,27.84181022644043,35.64943313598633,181.0500030517578,4282.3701171875
2023-06-05,68.5874252319336,28.187667846679688,35.85814666748047,182.13999938964844,4273.7900390625
2023-06-06,68.49384307861328,28.144433975219727,35.85814666748047,182.33999633789062,4283.85009765625
2023-06-07,68.40027618408203,28.014739990234375,35.89988708496094,180.14999389648438,4267.52001953125
2023-06-08,67.6517105102539,28.057973861694336,36.15035629272461,182.52999877929688,4293.93017578125
2023-06-09,67.6517105102539,28.057973861694336,36.15035629272461,182.0399932861328,4298.85986328125
2023-06-11,68.7745590209961,27.971506118774414,35.98337936401367,182.0399932861328,4298.85986328125
2023-06-12,68.7745590209961,27.928272247314453,35.89988708496094,181.8800048828125,4338.93017578125
2023-06-13,68.49384307861328,27.84181022644043,35.98337936401367,180.5399932861328,4369.009765625
2023-06-14,69.24241638183594,28.230907440185547,35.94163131713867,180.63999938964844,4372.58984375
2023-06-15,69.52311706542969,28.1012020111084,36.81826400756836,181.91000366210938,4425.83984375
2023-06-16,69.52311706542969,28.1012020111084,36.81826400756836,181.6300048828125,4409.58984375
2023-06-18,69.05526733398438,27.928272247314453,36.734771728515625,181.6300048828125,4409.58984375
2023-06-19,68.11956787109375,27.755346298217773,36.484310150146484,181.6300048828125,4409.58984375
2023-06-20,68.11956787109375,27.798580169677734,36.44256591796875,179.75,4388.7099609375
2023-06-21,68.213134765625,27.84181022644043,36.60953903198242,179.49000549316406,4365.68994140625
2023-06-22,68.30670166015625,27.885040283203125,36.31732940673828,177.7100067138672,4381.89013671875
2023-06-23,68.30670166015625,27.885040283203125,36.31732940673828,178.1999969482422,4348.330078125
2023-06-26,68.30670166015625,27.885040283203125,36.31732940673828,178.50999450683594,4328.81982421875
2023-06-27,68.30670166015625,27.885040283203125,36.31732940673828,177.69000244140625,4378.41015625
2023-06-28,68.30670166015625,27.885040283203125,36.31732940673828,177.27999877929688,4376.85986328125
2023-06-29,68.30670166015625,27.885040283203125,36.31732940673828,177.08999633789062,4396.43994140625
2023-06-30,68.30670166015625,27.885040283203125,36.31732940673828,178.27000427246094,4450.3798828125
2023-07-02,68.213134765625,27.84181022644043,36.734771728515625,178.27000427246094,4450.3798828125
2023-07-03,68.11956787109375,27.928272247314453,36.60953903198242,178.47000122070312,4455.58984375
2023-07-04,68.213134765625,27.928272247314453,37.31918716430664,178.47000122070312,4455.58984375
2023-07-05,68.11956787109375,27.971506118774414,37.402671813964844,177.83999633789062,4446.81982421875
2023-07-06,67.83885192871094,27.928272247314453,36.98523712158203,177.30999755859375,4411.58984375
2023-07-07,67.83885192871094,27.928272247314453,36.98523712158203,178.63999938964844,4398.9501953125
2023-07-09,67.83885192871094,27.928272247314453,37.23569869995117,178.63999938964844,4398.9501953125
2023-07-10,67.46455383300781,27.798580169677734,37.36092758178711,178.77999877929688,4409.52978515625
2023-07-11,68.02598571777344,27.755346298217773,37.77837371826172,179.4499969482422,4439.259765625
2023-07-12,67.6517105102539,27.84181022644043,37.56965637207031,181.8800048828125,4472.16015625
2023-07-13,67.1838607788086,27.798580169677734,37.56965637207031,182.00999450683594,4510.0400390625
2023-07-14,67.1838607788086,27.798580169677734,37.56965637207031,181.42999267578125,4505.419921875
2023-07-16,66.62242889404297,27.798580169677734,37.52790832519531,181.42999267578125,4505.419921875
2023-07-17,66.62242889404297,27.928272247314453,37.861854553222656,181.55999755859375,4522.7900390625
2023-07-18,66.15457153320312,27.928272247314453,38.07057571411133,183.63999938964844,4554.97998046875
2023-07-19,66.2481460571289,27.928272247314453,37.82011413574219,183.6699981689453,4565.72021484375
2023-07-20,66.2481460571289,27.928272247314453,37.945350646972656,182.74000549316406,4534.8701171875
2023-07-21,66.2481460571289,27.928272247314453,37.945350646972656,182.17999267578125,4536.33984375
2023-07-23,66.71599578857422,27.971506118774414,37.903602600097656,182.17999267578125,4536.33984375
2023-07-24,69.14884948730469,27.885040283203125,38.237552642822266,181.39999389648438,4554.64013671875
2023-07-25,70.1781234741211,27.971506118774414,38.11232376098633,182.41000366210938,4567.4599609375
2023-07-26,71.20740509033203,28.014739990234375,37.61140060424805,183.3000030517578,4566.75
